R,G,B
8,8,8
16,16,16
45,45,45
16,16,16
16,16,16
16,16,16
16,16,16
16,16,16
16,16,16
16,16,16
16,16,16
16,16,16
16,16,16
16,16,16
8,8,8
16,16,16
8,8,8
16,16,16
8,8,8
16,16,16
8,8,8
16,16,16
8,8,8
16,16,16
8,8,8
92,16,16
8,8,8
92,16,16
8,8,8
16,16,16
16,16,16
16,16,16
16,16,16
92,16,16
16,16,16
45,45,45
16,16,16
45,45,45
16,16,16
16,16,16
8,8,8
92,16,16
8,8,8
16,16,16
16,16,16
16,16,16
16,16,16
16,16,16
16,16,16
8,8,8
16,16,16
45,8,8
16,16,16
16,16,16
16,16,16
16,16,16
16,16,16
16,16,16
16,16,16
16,16,16
16,16,16
16,16,16
16,16,16
16,16,16
16,16,16
16,16,16
8,8,8
16,16,16
16,16,16
16,16,16
8,8,8
16,16,16
16,16,16
16,16,16
16,16,16
16,16,16
16,16,16
16,16,16
16,16,16
8,8,8
16,16,16
8,8,8
16,16,16
16,16,16
16,16,16
16,16,16
16,16,16
16,16,16
16,16,16
16,16,16
16,16,16
16,16,16
16,16,16
16,16,16
8,8,8
16,16,16
8,8,8
16,16,16
16,16,16
16,16,16
