R,G,B
8,26,21
8,27,21
8,26,21
8,27,21
8,26,21
7,27,22
8,26,21
8,27,21
7,27,21
7,28,22
7,26,22
7,28,22
8,27,21
7,27,21
8,27,21
8,26,21
7,27,22
8,26,21
8,27,21
8,26,21
7,27,22
8,26,21
8,26,22
8,27,21
7,27,21
7,28,22
7,26,22
7,28,22
7,27,22
7,27,21
8,27,21
8,26,21
7,27,22
8,26,21
8,26,22
8,26,21
8,26,22
8,26,21
8,27,21
7,27,22
7,27,21
7,28,22
7,26,22
7,27,21
8,27,21
7,27,21
8,27,21
8,26,21
8,27,21
8,26,21
8,26,22
8,26,21
8,26,22
8,26,21
8,27,21
7,27,21
8,26,22
7,27,21
8,26,22
8,27,21
8,26,21
7,27,22
8,26,21
8,26,22
7,27,22
8,26,21
8,26,22
8,26,21
7,27,22
8,26,21
7,25,22
8,26,21
8,27,21
7,27,21
7,26,22
7,27,21
8,27,21
8,26,21
8,26,22
8,26,21
8,26,22
8,26,21
7,25,21
8,26,21
7,27,21
8,26,21
8,27,21
7,27,21
7,28,22
7,26,22
7,27,21
8,26,21
7,25,22
8,26,21
8,26,22
8,26,21
7,27,21
8,26,21
8,26,22
8,26,21
