R,G,B
53,13,2
57,13,3
53,13,2
52,12,2
54,16,2
53,14,3
55,14,3
59,11,3
56,12,2
53,13,2
61,12,3
49,11,3
57,13,3
60,14,2
57,13,3
60,14,2
53,14,3
55,14,3
53,14,3
50,14,2
53,14,3
50,12,3
49,11,3
51,16,3
49,11,3
56,12,2
53,13,2
50,12,3
50,12,3
60,14,2
60,14,2
52,12,2
53,13,2
53,14,3
53,13,2
57,13,3
51,16,3
59,11,3
56,12,2
53,13,2
54,16,2
45,13,2
51,16,3
53,13,2
54,16,2
53,13,2
53,14,3
60,14,2
57,13,3
50,14,2
59,11,3
55,14,3
54,16,2
51,14,2
54,16,2
51,14,2
53,13,2
50,14,2
53,14,3
52,14,3
53,13,4
48,16,3
53,14,3
48,16,3
49,16,3
49,14,2
49,16,3
52,14,2
45,13,2
49,14,2
45,16,2
48,16,3
50,14,2
52,14,2
49,14,2
49,14,2
52,16,2
49,14,2
52,16,2
52,16,2
48,14,2
49,17,3
48,16,3
54,16,2
48,16,3
54,16,2
52,14,2
45,14,3
48,16,3
54,16,2
48,16,3
50,14,2
48,16,3
53,14,3
45,13,2
48,14,2
49,14,2
48,15,2
52,17,3
48,17,2
