R,G,B
108,5,2
125,5,2
108,5,2
125,5,2
108,5,2
125,5,2
108,5,2
125,5,2
108,5,2
125,5,2
112,4,2
125,5,2
112,4,2
125,5,2
112,4,2
125,5,2
112,4,2
125,5,2
112,4,2
125,5,2
112,4,2
125,5,2
112,4,2
128,4,2
112,4,2
125,5,2
112,4,2
117,4,2
112,4,2
125,5,2
112,4,2
125,5,2
112,4,2
128,4,2
112,4,2
125,5,2
112,4,2
125,5,2
112,4,2
125,5,2
112,4,2
117,4,2
112,4,2
128,4,2
112,4,2
125,5,2
112,4,2
125,5,2
112,4,2
125,5,2
112,4,2
125,5,2
112,4,2
125,5,2
112,4,2
128,4,2
112,4,2
117,4,2
112,4,2
125,5,2
112,4,2
125,5,2
112,4,2
125,5,2
112,4,2
128,4,2
112,4,2
125,5,2
112,4,2
125,5,2
112,4,2
128,4,2
112,4,2
117,4,2
128,4,2
112,4,2
117,4,2
112,4,2
117,4,2
112,4,2
117,4,2
112,4,2
128,4,2
112,4,2
125,5,2
128,4,2
112,4,2
117,4,2
112,4,2
117,4,2
112,4,2
128,4,2
112,4,2
125,5,2
112,4,2
128,4,2
112,4,2
128,4,2
112,4,2
128,4,2
