R,G,B
125,2,2
137,5,1
115,3,3
125,8,1
115,3,3
105,4,4
115,3,3
137,5,1
115,3,3
115,3,3
115,3,3
125,2,2
115,3,3
102,2,2
105,4,4
125,2,2
105,4,0
92,2,2
92,5,1
115,3,3
137,5,1
115,3,3
125,8,2
66,11,2
52,14,3
49,13,3
55,16,3
53,13,2
55,12,3
59,16,3
53,13,4
50,12,3
59,11,3
55,14,3
59,11,3
59,16,2
53,13,2
55,14,3
50,14,2
59,11,3
54,11,2
49,13,3
54,16,2
49,11,3
50,12,3
53,13,2
56,12,2
53,13,2
56,12,2
60,14,2
68,14,3
53,13,2
51,16,3
53,13,2
50,12,3
49,11,3
57,13,3
50,14,2
57,13,3
55,14,3
53,13,4
65,14,2
50,12,3
51,14,2
60,14,2
50,14,2
60,14,2
52,12,2
60,14,2
57,13,3
50,14,2
53,14,3
55,14,3
109,22,3
54,16,2
53,14,3
55,14,3
49,11,3
56,12,2
49,11,3
63,16,3
53,13,2
53,13,2
60,14,2
57,13,3
54,16,2
53,14,3
61,12,3
53,13,2
63,16,3
53,13,2
51,14,2
53,13,2
55,14,3
55,14,3
50,14,2
73,18,3
50,12,3
60,14,2
53,14,3
