Results
0: (10, 54581, 2.803250171663996)
1: (20, 48110, 2.4741817349507897)
2: (30, 37412, 1.935486381322957)
3: (40, 28956, 1.458072785534447)
4: (50, 23959, 1.2096726939803157)
5: (60, 18962, 0.9548271915770199)
6: (70, 16592, 0.8354863813229572)
7: (80, 14734, 0.7387045090409705)
8: (90, 12748, 0.6419226367589836)
9: (100, 11915, 0.6193636987869078)
10: (110, 10826, 0.545140764476997)
11: (120, 11979, 0.47741359578850995)
12: (130, 8264, 0.4193545433737697)
13: (140, 7879, 0.3999679560540169)
14: (150, 10121, 0.5064179446097505)
